LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_1,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,TOTAL_BILL,TOTAL_PAY,PAYMENT_RATIO,AVG_BILL_AMT,AVG_PAY_AMT,LATE_PAYMENT_COUNT,CreditDefault
150000,1,1,1,33,0,0,0,0,0,0,144761,146271,128105,130555,133985,136151,6005,5005,5005,6005,5005,5005,819828,32030,0.03906917060651746,136638.0,5338.333333333333,0,0
110000,2,3,2,29,1,2,0,0,0,0,23258,22591,23920,25217,25600,26036,0,2000,2000,1100,1000,3000,146622,9100,0.06206435596295235,24437.0,1516.6666666666667,2,0
50000,1,2,2,29,0,0,2,0,0,0,48632,52100,50611,50411,19722,19682,4600,0,2200,900,800,800,241158,9300,0.03856392904237056,40193.0,1550.0,1,0
30000,1,2,2,27,3,2,2,4,4,4,1650,1650,1650,1650,1650,1650,0,0,0,0,0,0,9900,0,0.0,1650.0,0.0,6,1
10000,1,3,3,54,1,2,0,0,0,0,8210,7936,8792,9117,9305,9504,0,1146,471,483,502,460,52864,3062,0.057922215496368036,8810.666666666666,510.3333333333333,2,0
30000,2,1,2,28,0,-1,-1,-1,-2,-2,13568,3166,821,0,0,0,3166,821,0,0,0,0,17555,3987,0.227114782113358,2925.8333333333335,664.5,0,0
100000,1,2,2,30,0,0,0,0,0,0,27869,29329,30294,31734,32323,33648,3500,3000,3500,1500,2000,2300,185197,15800,0.08531455693126778,30866.166666666668,2633.3333333333335,0,0
100000,2,2,1,30,-1,0,0,0,-1,-1,100037,101163,102712,99925,836,79013,3607,4001,2449,2836,79263,2442,483686,94598,0.19557729601435642,80614.33333333333,15766.333333333334,0,0
60000,1,1,2,25,-1,0,0,0,0,0,1193,49461,51024,32215,31088,33581,48967,2530,1525,1200,3000,1400,198562,58622,0.29523272328038597,33093.666666666664,9770.333333333334,0,0
50000,2,2,1,34,0,0,0,2,0,0,11340,11367,10982,10243,10826,11699,3200,3000,1000,1000,1000,2000,66457,11200,0.16853002693470967,11076.166666666666,1866.6666666666667,1,0
20000,1,2,1,27,0,0,0,3,2,0,6599,9315,19067,18472,18037,18487,3000,10000,0,0,900,2000,89977,15900,0.1767118263556242,14996.166666666666,2650.0,2,0
160000,2,2,1,40,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1,0
50000,1,2,2,45,0,0,0,2,0,0,19834,19387,22574,20483,20121,20191,1340,5000,0,729,793,642,122590,8504,0.06936944285830818,20431.666666666668,1417.3333333333333,1,0
60000,1,2,1,56,0,0,0,0,0,0,26344,26382,27046,27187,27372,27549,1446,1500,960,1000,1027,860,161880,6793,0.04196318260439832,26980.0,1132.1666666666667,0,1
80000,1,6,1,54,0,0,0,0,0,0,61454,61808,62290,29296,26210,17643,2545,2208,1336,2232,542,348,258701,9211,0.03560481018627682,43116.833333333336,1535.1666666666667,0,1
80000,1,2,1,36,0,0,0,0,0,0,77870,79472,81757,77200,77669,79667,2900,3900,2750,2800,3200,2964,473635,18514,0.03908917204176211,78939.16666666667,3085.6666666666665,0,1
500000,2,3,2,46,-1,0,-1,-1,0,0,24239,36674,1558,310852,301854,133761,15000,1558,310852,10000,5000,5000,808938,347410,0.4294643099965634,134823.0,57901.666666666664,0,0
110000,1,2,2,29,0,0,0,0,0,0,112533,109515,48917,46765,40212,39690,4101,3000,2000,3000,5000,3000,397632,20101,0.050551766457427975,66272.0,3350.1666666666665,0,0
130000,2,1,1,31,0,0,0,0,0,0,128319,131825,127949,129357,126999,126719,6300,4800,5000,4700,5000,5000,771168,30800,0.03993941657330179,128528.0,5133.333333333333,0,0
80000,2,2,1,37,1,2,-1,-1,-1,-1,2626,2410,3237,2760,914,0,0,3237,2760,914,0,0,11947,6911,0.5784715828241399,1991.1666666666667,1151.8333333333333,2,0
100000,1,1,1,55,0,0,0,0,0,0,10712,18135,31498,17158,18758,17168,8000,2000,4000,2000,3000,0,113429,19000,0.16750566433628084,18904.833333333332,3166.6666666666665,0,0
50000,1,3,1,46,0,0,0,2,0,0,11401,12506,14774,14233,14744,15252,1300,3000,0,1000,1000,3000,82910,9300,0.11216982269931251,13818.333333333334,1550.0,1,0
200000,2,2,1,35,0,0,0,0,0,0,71561,74084,74770,75826,77741,79597,4000,3010,2600,3000,3000,3000,453579,18610,0.04102923636235364,75596.5,3101.6666666666665,0,0
240000,2,2,2,30,0,-1,-1,-2,-2,-2,7818,9363,0,0,0,0,9434,0,0,0,0,178,17181,9612,0.5594552121529597,2863.5,1602.0,0,0
500000,1,2,1,40,-1,-1,0,0,0,-1,1010,4682,8570,12072,9832,984,4682,5000,5000,5000,1000,600,37150,21282,0.5728667563930013,6191.666666666667,3547.0,0,0
50000,2,3,1,50,0,0,2,0,0,0,35415,38940,36319,22538,23013,23465,6960,0,1000,1000,1000,1000,179690,10960,0.060993933997440034,29948.333333333332,1826.6666666666667,1,0
200000,2,1,2,26,0,0,0,0,0,0,199649,202127,198168,189696,192462,194025,7263,7266,7000,7940,7009,7000,1176127,43478,0.03696709624045703,196021.16666666666,7246.333333333333,0,0
200000,2,1,1,36,-2,-2,-2,-2,-2,-2,588,608,4695,2008,164,3383,608,4695,2008,164,3383,4331,11446,15189,1.3270138039489778,1907.6666666666667,2531.5,0,0
130000,2,3,2,53,0,0,0,0,0,0,101156,100184,99001,88214,90167,90682,3615,4700,3200,3403,3300,3500,569404,21718,0.038141635815695005,94900.66666666667,3619.6666666666665,0,0
220000,2,2,3,50,0,0,0,0,0,0,127571,116768,55863,57079,51202,53195,5200,2000,2000,2000,3200,2001,461678,16401,0.03552475968098978,76946.33333333333,2733.5,0,0
360000,1,1,1,32,1,-2,-2,-2,-2,-2,0,0,0,0,-5,-5,0,0,0,0,0,0,-10,0,-0.0,-1.6666666666666667,0.0,1,1
150000,2,1,2,30,-2,-2,-2,-2,-2,-2,217,0,2403,0,4932,402,0,2403,0,4932,402,3516,7954,11253,1.414759869248177,1325.6666666666667,1875.5,0,0
390000,1,1,2,35,-1,-1,-1,0,0,0,30356,32910,78686,63021,41653,24679,33074,78772,1371,919,13770,183622,271305,311528,1.1482574961758907,45217.5,51921.333333333336,0,0
140000,2,2,2,27,0,0,0,0,0,0,136899,139889,142460,142020,139879,140810,5200,6000,5500,5900,5200,5000,841957,32800,0.03895685884195986,140326.16666666666,5466.666666666667,0,0
160000,2,1,1,37,-1,-1,-1,-1,-1,-1,316,316,0,316,632,0,316,0,316,632,0,316,1580,1580,1.0,263.3333333333333,263.3333333333333,0,0
60000,1,2,1,39,0,0,0,0,0,0,59929,35338,22856,22122,19531,16594,2110,2000,200,467,500,4100,176370,9377,0.05316663831717412,29395.0,1562.8333333333333,0,0
140000,1,1,2,56,0,0,0,0,0,0,140630,142166,51334,51533,52233,53826,6100,2411,2000,2041,3000,1874,491722,17426,0.035438723506371485,81953.66666666667,2904.3333333333335,0,0
200000,2,2,2,35,0,0,0,0,0,0,72450,52795,41861,34531,1794,-345,5556,1000,2000,1000,0,0,203086,9556,0.047053957436750934,33847.666666666664,1592.6666666666667,0,0
